"timestamp","acc_x","acc_y","acc_z","gyr_x","gyr_x.1","gyr_x.2","mag_x","mag_y","mag_z"
0,171,179,-302.333333333333,1078.33333333333,15,-11.3333333333333,503.333333333333,130.333333333333,111.666666666667
6,126.333333333333,-46.6666666666667,-543.333333333333,1586,23.3333333333333,-10,504.666666666667,166.333333333333,58.6666666666667
12,66.3333333333333,-199.333333333333,-716,1920.33333333333,9.33333333333333,-12.6666666666667,461,217,6.66666666666667
18,-2.66666666666667,-665.333333333333,-725.333333333333,1996,8.33333333333333,-22,414,227,-70.6666666666667
24,-21,-626.333333333333,-580.333333333333,1865.33333333333,-14.6666666666667,-7.33333333333333,362,218.333333333333,-120.666666666667
30,16.3333333333333,-783.333333333333,-408,1568,-7.66666666666667,3.66666666666667,316,198.666666666667,-170.666666666667
36,127,-677.333333333333,-146,874,-19.3333333333333,18.3333333333333,280.666666666667,181,-224.666666666667
42,147,-900.333333333333,62,17.3333333333333,10.6666666666667,-6,268.666666666667,169.666666666667,-272
48,109.333333333333,-793.333333333333,433.666666666667,-907.333333333333,-3.66666666666667,-6.33333333333333,288.666666666667,165.666666666667,-281.333333333333
54,-5,-497.666666666667,647,-1490,-86.6666666666667,10.3333333333333,332,165.666666666667,-254.333333333333
60,104,-452.666666666667,724.333333333333,-1680.66666666667,-108,-8,384.666666666667,157.666666666667,-197.333333333333
66,156.333333333333,-826,744.333333333333,-1553,-13,-3.33333333333333,426.333333333333,145.333333333333,-138.666666666667
72,156.333333333333,-795.666666666667,704.333333333333,-1599,57.6666666666667,-17.6666666666667,448,128.333333333333,-46.6666666666667
78,164.666666666667,-660,725.666666666667,-1561.33333333333,63.3333333333333,-6.66666666666667,440.333333333333,116.333333333333,28.3333333333333
84,114,-341,587.333333333333,-1510,-74.3333333333333,-21,428.333333333333,110.333333333333,99
90,88,-376.333333333333,355.333333333333,-1028.66666666667,-67.3333333333333,-24,426.333333333333,110.333333333333,125.333333333333
96,-57.3333333333333,-172.666666666667,164.666666666667,-453,-64.6666666666667,1.33333333333333,463,100.666666666667,125.333333333333
102,-58.6666666666667,92.6666666666667,-14,387,-3,10,481.333333333333,108,150.666666666667
