"timestamp","acc_x","acc_y","acc_z","gyr_x","gyr_x.1","gyr_x.2","mag_x","mag_y","mag_z"
0,-11.6666666666667,270.666666666667,-507,1585.33333333333,26.3333333333333,-2,470,176.666666666667,6.66666666666667
6,69.3333333333333,53,-731,1485,29,0.333333333333333,446,216.333333333333,-59.6666666666667
12,55.3333333333333,45.3333333333333,-710.666666666667,1354.33333333333,-15.3333333333333,17.3333333333333,405,226,-103.666666666667
18,57,-208.333333333333,-733.333333333333,1250.66666666667,-39.3333333333333,12.3333333333333,363,219.333333333333,-135.666666666667
24,19.6666666666667,-502,-665.666666666667,920.666666666667,-35.6666666666667,-5.66666666666667,334.666666666667,201.333333333333,-159.666666666667
30,-50.6666666666667,-702.333333333333,-433.333333333333,362.333333333333,-31,-23,312.666666666667,183.666666666667,-193.666666666667
36,-133,-843.666666666667,-178.333333333333,-313.333333333333,-56.6666666666667,-33.3333333333333,312.666666666667,168.666666666667,-222
42,-71.3333333333333,-1019,116.666666666667,-758,-52.6666666666667,-39,329,163,-236
48,35.6666666666667,-897,437.666666666667,-992.666666666667,-45.3333333333333,-21,361,160.666666666667,-221.333333333333
54,173.333333333333,-822.333333333333,499.666666666667,-1100,-14,-4.66666666666667,394.666666666667,152.666666666667,-192
60,199,-498.333333333333,695,-1272.66666666667,7.33333333333333,28,431.666666666667,138.333333333333,-128
66,142.666666666667,-466.666666666667,564.333333333333,-1507,22,22.3333333333333,445.666666666667,126.333333333333,-50
72,213.666666666667,-380.666666666667,666,-1501.66666666667,1.33333333333333,5.33333333333333,442,117,27
78,213.666666666667,-345,516,-1324.66666666667,-20.3333333333333,-5.33333333333333,429.666666666667,117,74
84,251.666666666667,-389,456.666666666667,-881,-33.6666666666667,-5,431.333333333333,120.333333333333,110.333333333333
90,82.3333333333333,-205.666666666667,309,-342,-16.6666666666667,1.33333333333333,432.333333333333,101.666666666667,120.666666666667
96,14,-60,-40,250.666666666667,-9.33333333333333,-5.66666666666667,449.666666666667,101,132
