"timestamp","acc_x","acc_y","acc_z","gyr_x","gyr_x.1","gyr_x.2","mag_x","mag_y","mag_z"
0,-37,-23.6666666666667,-564.666666666667,846,23.6666666666667,-16,399,184.666666666667,401.333333333333
6,-29,-48.6666666666667,-900.333333333333,1357.66666666667,37.6666666666667,-23.3333333333333,425.333333333333,211.666666666667,269
12,-4,-207,-1031.33333333333,1626.33333333333,30.6666666666667,-27.6666666666667,423.333333333333,205.666666666667,194.333333333333
18,66,-369.666666666667,-1061,1612,32.3333333333333,-5.66666666666667,413.666666666667,215.333333333333,119.666666666667
24,130,-728.666666666667,-1023.66666666667,1424.66666666667,15.6666666666667,-0.666666666666667,393.333333333333,204.333333333333,142.666666666667
30,95.6666666666667,-953.666666666667,-921.666666666667,921.666666666667,-29.3333333333333,-7.33333333333333,383.666666666667,188.333333333333,86.3333333333333
36,70.3333333333333,-1298,-784.666666666667,521.333333333333,-45.6666666666667,-19.3333333333333,394.333333333333,170.333333333333,33.3333333333333
42,13,-1510,-799,142,-37,-12.3333333333333,412.666666666667,157,1.33333333333333
48,47.3333333333333,-1712,-454.333333333333,-90,-31,-10.6666666666667,433.333333333333,149.333333333333,-5.33333333333333
54,156.333333333333,-1743.33333333333,-111.333333333333,-350.666666666667,-35,-7,438.666666666667,147.666666666667,10.3333333333333
60,117.666666666667,-1366.33333333333,502.333333333333,-662.333333333333,-45,24.6666666666667,433.666666666667,141,49.6666666666667
66,131.333333333333,-1201.66666666667,626,-1010.33333333333,-35.3333333333333,41.3333333333333,425,117.666666666667,78.3333333333333
72,164,-1048,617.333333333333,-1340.33333333333,-26.6666666666667,35.3333333333333,405,110.333333333333,123.666666666667
78,224,-974.333333333333,457.333333333333,-1407.33333333333,-39.3333333333333,4,395,102.333333333333,158.666666666667
84,146.333333333333,-689.333333333333,376,411,-52,-4,388.666666666667,122.666666666667,225.666666666667
90,54,-321.333333333333,166,971.666666666667,-37.3333333333333,-2.33333333333333,416.333333333333,144.666666666667,294.666666666667
96,19,-63,-100.666666666667,1633.66666666667,-7.33333333333333,-2,418,158.333333333333,343.333333333333
