"timestamp","acc_x","acc_y","acc_z","gyr_x","gyr_x.1","gyr_x.2","mag_x","mag_y","mag_z"
0,-121.333333333333,552.333333333333,-380.333333333333,366.333333333333,-35.6666666666667,7.33333333333333,467.666666666667,180,-54
6,-105.666666666667,297.666666666667,-593.666666666667,908.333333333333,-24.3333333333333,5.66666666666667,466.666666666667,208,-71.3333333333333
12,-94.6666666666667,109.333333333333,-701,1282.33333333333,-13,1.33333333333333,429.333333333333,227.666666666667,-109.666666666667
18,-37.3333333333333,-215.666666666667,-739,1513.66666666667,-3.66666666666667,-15,387.333333333333,214.666666666667,-139
24,-59.3333333333333,-287,-598,1475.33333333333,-26.6666666666667,-10.6666666666667,335,213.333333333333,-172.666666666667
30,-13.6666666666667,-515,-424.333333333333,1303.33333333333,-29.3333333333333,-8,288,200.666666666667,-205.666666666667
36,16.6666666666667,-553.333333333333,-96.3333333333333,890,-44.3333333333333,-2.33333333333333,241,187.666666666667,-249
42,4.33333333333333,-701,28,192,-43,-16.3333333333333,220,176.666666666667,-298.333333333333
48,-73.6666666666667,-750,291.666666666667,-617.666666666667,-65,-39.6666666666667,236,167.666666666667,-322.333333333333
54,1,-748.666666666667,461.333333333333,-1100,-72.3333333333333,-41.3333333333333,277,160.666666666667,-317
60,92.6666666666667,-425.333333333333,710.666666666667,-1164,-82,-11.6666666666667,325,151,-282.333333333333
66,155.333333333333,-45,700.333333333333,-926.666666666667,-24,33.3333333333333,360,145,-239
72,98.6666666666667,-46.6666666666667,711.333333333333,-949,21.3333333333333,40.3333333333333,383,136.666666666667,-182.666666666667
78,-74.3333333333333,38.6666666666667,643.333333333333,-930.666666666667,6,51.3333333333333,381,125.666666666667,-166
84,-355.666666666667,81.3333333333333,627,-1198.66666666667,-105.666666666667,53,384.333333333333,115.333333333333,-127
90,-290.666666666667,201,610,-1060.33333333333,-140,32.6666666666667,385.666666666667,110.666666666667,-115.333333333333
96,-105.333333333333,291,345.666666666667,-695,-94.3333333333333,5.33333333333333,409.666666666667,114.666666666667,-68.3333333333333
102,172.333333333333,274.666666666667,-36,-53.3333333333333,-4.33333333333333,-25,426.666666666667,124.666666666667,-53.3333333333333
