"timestamp","acc_x","acc_y","acc_z","gyr_x","gyr_x.1","gyr_x.2","mag_x","mag_y","mag_z"
0,-103,272,-539,923.666666666667,24.3333333333333,-19.6666666666667,451.333333333333,141.666666666667,177.666666666667
6,17.3333333333333,119,-827.666666666667,1284,32,-23,471,173.666666666667,133.666666666667
12,27,-125.666666666667,-997,1428.66666666667,15.6666666666667,-13.3333333333333,454,221.333333333333,160.666666666667
18,61.6666666666667,-418,-1064,1180.66666666667,-13.6666666666667,-18,424,223.666666666667,103.333333333333
24,68.3333333333333,-810,-972,838.333333333333,-46.6666666666667,-21.3333333333333,395.333333333333,207.333333333333,57
30,80.3333333333333,716,-880.666666666667,465.333333333333,-58.3333333333333,-17.3333333333333,390.666666666667,184.333333333333,12.3333333333333
36,159.333333333333,441,-577,13.3333333333333,-68,0.333333333333333,399,167,-20.6666666666667
42,213.333333333333,271.333333333333,-319.666666666667,-173,-64.3333333333333,12.3333333333333,421,154.333333333333,-35.3333333333333
48,85.3333333333333,-1605.33333333333,167,-409,-84.6666666666667,17.6666666666667,434,153.333333333333,-25.6666666666667
54,-58.3333333333333,-1440.66666666667,461,-562,-75,41,437.666666666667,150.333333333333,-1.33333333333333
60,-115.666666666667,-1257.33333333333,694.666666666667,-1035.66666666667,-62.3333333333333,50.6666666666667,437.666666666667,129.333333333333,52.3333333333333
66,-97,-931,730,-1439.66666666667,-60.6666666666667,52.6666666666667,416.666666666667,117.333333333333,102.666666666667
72,20,-898.333333333333,670,-1521.66666666667,-60,30.6666666666667,401,104.333333333333,151.333333333333
78,12,-547,514.666666666667,-1279,-66,18.3333333333333,386.666666666667,121,200.666666666667
84,134.666666666667,-341,278,-666,-25.6666666666667,8,397.666666666667,101,235.333333333333
90,77.3333333333333,77.3333333333333,-105.666666666667,264.666666666667,23,-5.33333333333333,416.666666666667,118,273.666666666667
