"timestamp","acc_x","acc_y","acc_z","gyr_x","gyr_x.1","gyr_x.2","mag_x","mag_y","mag_z"
0,-40.3333333333333,223.333333333333,-584.333333333333,-245.666666666667,-35.6666666666667,3.66666666666667,443,152.666666666667,-63.6666666666667
6,50.3333333333333,60,-780.333333333333,372,-20.6666666666667,-7.33333333333333,477,171,-63.6666666666667
12,32.3333333333333,-89.6666666666667,-741.666666666667,909.333333333333,-12.6666666666667,-4,465,198.666666666667,-83.6666666666667
18,1,-216.666666666667,-694.666666666667,1371,-40.6666666666667,-7.33333333333333,430.333333333333,211.333333333333,-132.666666666667
24,-12,-277.333333333333,-601,1603.33333333333,-44.3333333333333,-14.6666666666667,365.666666666667,224.333333333333,-161.333333333333
30,16,-405,-441.333333333333,1659.33333333333,-37.6666666666667,-31,313.666666666667,217.666666666667,-195.333333333333
36,81.6666666666667,-370.666666666667,-232.666666666667,1534.33333333333,-9.33333333333333,-17,263.333333333333,203,-221.666666666667
42,197.666666666667,-375.333333333333,73,1313,-7,7.33333333333333,205.333333333333,192.666666666667,-260
48,122.666666666667,-459.333333333333,143.666666666667,932.333333333333,-11,-3,160.333333333333,180.333333333333,-310.666666666667
54,65,-383,284.666666666667,271.333333333333,-32,-5.33333333333333,137.666666666667,178.333333333333,-355.666666666667
60,106,-478.333333333333,354,-443,-24.3333333333333,-31.6666666666667,154.333333333333,174.333333333333,-378
66,58.6666666666667,-36.3333333333333,616,-922,-58.3333333333333,7.33333333333333,188.333333333333,169.333333333333,-375.666666666667
72,106.333333333333,160,617.666666666667,-945.333333333333,-55.3333333333333,21,230.333333333333,162,-354.666666666667
78,12,469.666666666667,589.333333333333,-841,-40,35.3333333333333,265.666666666667,155,-325.333333333333
84,172,236,650.666666666667,-946.333333333333,3.66666666666667,11.3333333333333,284.666666666667,156.333333333333,-287.333333333333
90,88.3333333333333,198.666666666667,706.333333333333,-1261.66666666667,-17.3333333333333,-27.3333333333333,311.666666666667,126.333333333333,-245
96,84,175.666666666667,718.333333333333,-1451.66666666667,-63,-41,326.333333333333,117.333333333333,-210
102,111.666666666667,235.333333333333,530.333333333333,-1332,-74.6666666666667,-31,353.333333333333,102,-181
108,264.333333333333,154,235.666666666667,-988.666666666667,-22.6666666666667,14,373,119.333333333333,-153.666666666667
114,331,70.3333333333333,21.6666666666667,-679.666666666667,13.6666666666667,28.6666666666667,402.333333333333,125.333333333333,-109.333333333333
120,284.666666666667,118,-137.666666666667,-286,6.66666666666667,22.6666666666667,447.333333333333,120.666666666667,-103.333333333333
