"timestamp","acc_x","acc_y","acc_z","gyr_x","gyr_x.1","gyr_x.2","mag_x","mag_y","mag_z"
0,82,163.666666666667,-471.333333333333,1130.66666666667,57.6666666666667,-11,443.666666666667,142.333333333333,263.333333333333
6,56,122,-828.666666666667,1604.66666666667,63.6666666666667,-13.6666666666667,453.333333333333,203.333333333333,222.666666666667
12,70.6666666666667,-183,-1002,1598,29,-11.6666666666667,442,223.666666666667,149.333333333333
18,59.6666666666667,-523.333333333333,-1077,1257.33333333333,-8.33333333333333,-19.6666666666667,417.333333333333,220.666666666667,91.3333333333333
24,21,-807.333333333333,-1101.66666666667,935.666666666667,-31.6666666666667,-19.3333333333333,396.666666666667,201.666666666667,54.3333333333333
30,41.3333333333333,-1064.66666666667,-983.666666666667,472.666666666667,-50.3333333333333,-18,389.666666666667,180.666666666667,12.6666666666667
36,54.3333333333333,-1375,-751.333333333333,117.666666666667,-45.3333333333333,-7.66666666666667,395.333333333333,166.666666666667,-24.3333333333333
42,65.3333333333333,-1595.33333333333,-338,-118,-55.6666666666667,-4.33333333333333,411.333333333333,159,-41.6666666666667
48,77,-1720.66666666667,86.3333333333333,-349.333333333333,-56.6666666666667,19.3333333333333,428.666666666667,157.666666666667,-37
54,-3.33333333333333,-1464.66666666667,508.333333333333,-748.333333333333,-61,44.3333333333333,442,147.333333333333,1.33333333333333
60,15.3333333333333,-1305.33333333333,701.333333333333,-1206,-51.6666666666667,53,435.666666666667,134.333333333333,58.3333333333333
66,40.3333333333333,-1062,721.333333333333,-1603.66666666667,-70.3333333333333,13,417.666666666667,120.666666666667,117.333333333333
72,-10.3333333333333,-721,578,-1532.33333333333,-73.6666666666667,5,395.333333333333,118.666666666667,156.333333333333
78,47.6666666666667,-542,440,-1294.33333333333,-63.6666666666667,1.66666666666667,408.666666666667,109.666666666667,170.666666666667
84,-47.6666666666667,-256.666666666667,328,-672,-33.6666666666667,18.3333333333333,414.333333333333,111.666666666667,221
90,-7,-160,85.6666666666667,5.33333333333333,-13.3333333333333,1.33333333333333,426.666666666667,124.666666666667,261
96,-13.3333333333333,50.3333333333333,-256.333333333333,556,-0.333333333333333,-17,429.333333333333,161.666666666667,298
