"timestamp","acc_x","acc_y","acc_z","gyr_x","gyr_x.1","gyr_x.2","mag_x","mag_y","mag_z"
0,-10.6666666666667,164.333333333333,-522.666666666667,840,26.3333333333333,-15.3333333333333,431.666666666667,178.666666666667,301.333333333333
6,-22.6666666666667,60.6666666666667,-927,1220.66666666667,37.6666666666667,-21,453.666666666667,208.666666666667,254.333333333333
12,-23.3333333333333,-222,-1141.66666666667,1449.33333333333,37.3333333333333,-28.6666666666667,446.666666666667,221,192.333333333333
18,20,-529.333333333333,-1186.33333333333,1329.33333333333,9.33333333333333,-30,423.666666666667,214,136.333333333333
24,18.6666666666667,-959,-1066,1049.66666666667,-17.3333333333333,-20.3333333333333,396.333333333333,198,92
30,61,-1288,-811.666666666667,737,-40.6666666666667,-15,388,181,33.3333333333333
36,168.666666666667,-1446,-369.333333333333,530,-56,4,395.333333333333,166,-24.6666666666667
42,194.333333333333,-1612,-77.3333333333333,336.333333333333,-44.3333333333333,3.33333333333333,408.333333333333,156.666666666667,-66.6666666666667
48,219.666666666667,-1524.33333333333,307.666666666667,-206,-55,20.3333333333333,422.666666666667,148.333333333333,-68.6666666666667
54,63,-1375.66666666667,549.666666666667,-761,-39.6666666666667,37.3333333333333,432.666666666667,140.333333333333,-36.6666666666667
60,114,-973.666666666667,790.333333333333,-1315,-22.6666666666667,71,421.666666666667,136.333333333333,27.3333333333333
66,96.3333333333333,-755,699,-1517.33333333333,-19,58.6666666666667,406.333333333333,140.666666666667,95
72,91.6666666666667,-713.333333333333,616.666666666667,-1571,-45.6666666666667,28,374,112.666666666667,133.333333333333
78,51.3333333333333,-546,439,-1315.66666666667,-75,-7.33333333333333,373,108,176.333333333333
84,-32,-257.333333333333,270,-762.333333333333,-57.6666666666667,-9.66666666666667,377,100,221.666666666667
90,-16,95,-159,79.3333333333333,-1.33333333333333,-12.6666666666667,406,138,279.333333333333
