"timestamp","acc_x","acc_y","acc_z","gyr_x","gyr_x.1","gyr_x.2","mag_x","mag_y","mag_z"
0,3.33333333333333,-116.333333333333,-429,1462,4.33333333333333,-6.33333333333333,479,171.333333333333,13.3333333333333
6,-52,-37.6666666666667,-710.666666666667,1523,3.33333333333333,0,456.333333333333,221,-48.6666666666667
12,-18.3333333333333,26.3333333333333,-697,1388.66666666667,-33.3333333333333,14.3333333333333,410.666666666667,232,-98.3333333333333
18,52,14,-555.333333333333,1122.66666666667,-57,12,367,224,-125.333333333333
24,100.333333333333,-169.666666666667,-424.333333333333,840.333333333333,-50.6666666666667,1,342.666666666667,209.333333333333,-148.666666666667
30,100,-402,-276.333333333333,463.333333333333,-24,-4,322.333333333333,191.333333333333,-179
36,84,-435,-200.333333333333,122,-13.6666666666667,4,310,173.666666666667,-216.333333333333
42,60.6666666666667,-438,-9,-309.666666666667,-41,12.6666666666667,309.333333333333,166.333333333333,-242.666666666667
48,-7.33333333333333,-272.666666666667,241.666666666667,-858.666666666667,-110.666666666667,13,329.333333333333,163.666666666667,-247.333333333333
54,64.6666666666667,-454.666666666667,489.333333333333,-1306.66666666667,-90.6666666666667,-26,368.666666666667,160.333333333333,-220.666666666667
60,110,-714.333333333333,546,-1671.33333333333,-57.3333333333333,-65,405.666666666667,155.666666666667,-160.333333333333
66,242.666666666667,-1128,495.333333333333,-1741,39.3333333333333,-44.3333333333333,447,138.333333333333,-81.6666666666667
72,447,-1281,382.666666666667,-1737,-49.6666666666667,12.3333333333333,457,124.666666666667,9
78,164.333333333333,-972.333333333333,295,-1457.66666666667,-178,75.6666666666667,448,113.333333333333,77
84,22,-686.333333333333,349.666666666667,-1083.66666666667,-258.666666666667,59.3333333333333,423,111.666666666667,120
90,-329.666666666667,-179,323,-503.333333333333,-185,34.6666666666667,422,111.666666666667,130.333333333333
96,-11,-220.666666666667,424.666666666667,-1,-18.6666666666667,8.66666666666667,458,109,103.333333333333
102,-44.3333333333333,33,298.333333333333,585.666666666667,22,-3.66666666666667,473.666666666667,114.666666666667,108.333333333333
108,18.3333333333333,18.6666666666667,104,1005.33333333333,24.3333333333333,-6.66666666666667,492.666666666667,130.666666666667,95.3333333333333
114,20.6666666666667,-37.3333333333333,-372,1479.33333333333,9.66666666666667,-16.6666666666667,483.333333333333,164.666666666667,89.3333333333333
