"timestamp","acc_x","acc_y","acc_z","gyr_x","gyr_x.1","gyr_x.2","mag_x","mag_y","mag_z"
0,-220.666666666667,735,-174.666666666667,160,-49,-19,456.333333333333,149.333333333333,-74.3333333333333
6,-136,187.333333333333,-436.333333333333,713,-31,-39,457,198,-91.3333333333333
12,-78.6666666666667,-193,-507,1258.66666666667,-24,-37.6666666666667,445,222,-126.333333333333
18,31.6666666666667,-440,-586.333333333333,1580.33333333333,-2,-23.6666666666667,398.333333333333,230,-167.666666666667
24,70,-252.666666666667,-460.333333333333,1514.66666666667,-2,-0.666666666666667,355.333333333333,214.333333333333,-189.666666666667
30,82.3333333333333,-225.333333333333,-374.333333333333,1315.33333333333,1.33333333333333,15.6666666666667,299.333333333333,210.666666666667,-209.666666666667
36,13.3333333333333,-311.666666666667,-194.666666666667,1059,-11.3333333333333,18.3333333333333,255.333333333333,201.666666666667,-230.666666666667
42,-13,-175.666666666667,-13.6666666666667,861,-17,18.6666666666667,210.666666666667,187.666666666667,-266
48,-23.6666666666667,-17,156.333333333333,563.333333333333,-22,12.6666666666667,177,180.333333333333,-307
54,-2.66666666666667,91.3333333333333,303.333333333333,83.3333333333333,-14.6666666666667,-9,162,172.666666666667,-348.333333333333
60,67.6666666666667,107.666666666667,470,-447.333333333333,-17.3333333333333,-28,179,166.666666666667,-366.333333333333
66,184.333333333333,111.666666666667,546.333333333333,-782,-22.3333333333333,-19.6666666666667,212,159,-365.666666666667
72,337.333333333333,246.666666666667,567.333333333333,-765,-12.6666666666667,6,251,155,-344.666666666667
78,270.666666666667,198.333333333333,505,-579.333333333333,0.666666666666667,21,279,149.666666666667,-321
84,196.333333333333,96,555.666666666667,-554,9,4.33333333333333,298.666666666667,143.666666666667,-291
90,235,140,407.333333333333,-742.666666666667,7.33333333333333,-30.6666666666667,304.666666666667,152.666666666667,-249.666666666667
96,226.333333333333,260,319.666666666667,-1114.33333333333,6,-25.3333333333333,308.666666666667,115.666666666667,-223
102,186.666666666667,506.333333333333,228.666666666667,-1356.66666666667,-11.6666666666667,-22.3333333333333,325.666666666667,107.666666666667,-187.333333333333
108,58,502.333333333333,358,-1251.66666666667,-19.3333333333333,37.3333333333333,362.666666666667,87.3333333333333,-159
114,121.666666666667,472.666666666667,387,-813,-21.6666666666667,75,401.333333333333,119.333333333333,-110
120,140.666666666667,279,23.3333333333333,-349.666666666667,-3,66,432.333333333333,132.333333333333,-69
126,107.333333333333,92.3333333333333,-416,68,-19,28,476,144.333333333333,-67.3333333333333
