"timestamp","acc_x","acc_y","acc_z","gyr_x","gyr_x.1","gyr_x.2","mag_x","mag_y","mag_z"
0,-113.666666666667,99.6666666666667,-657,1040.66666666667,23.6666666666667,-18.3333333333333,448.333333333333,199.666666666667,283
6,9.33333333333333,-51,-946.333333333333,1472.66666666667,40.3333333333333,-16,456,220.333333333333,221
12,-41.3333333333333,-315.333333333333,-1136.66666666667,1154.33333333333,27.6666666666667,-25.3333333333333,434,211.666666666667,157.666666666667
18,5.66666666666667,-537,-1144.33333333333,966,17.3333333333333,-20,409,210.666666666667,95.3333333333333
24,12.6666666666667,-816.333333333333,-1122.66666666667,531.333333333333,-7.66666666666667,-15,389,194.666666666667,44
30,27.3333333333333,-1044.66666666667,-889.666666666667,640,-21.6666666666667,0,386.333333333333,177.666666666667,-12
36,75.6666666666667,-1390,-594.333333333333,1673.66666666667,-37.6666666666667,-3.33333333333333,396.666666666667,160.333333333333,-54
42,104.666666666667,-1493.33333333333,-130.666666666667,1331,-53,12.6666666666667,416.666666666667,155.333333333333,-66
48,139,-1551.66666666667,-237.333333333333,987,-72.6666666666667,28.6666666666667,431.666666666667,149,-49
54,220,-1404,87.3333333333333,-808,-55.3333333333333,45.3333333333333,440.666666666667,146.333333333333,-9.66666666666667
60,266,-1250,174.333333333333,-1114.66666666667,-19.3333333333333,51.6666666666667,421.666666666667,149.333333333333,42.3333333333333
66,271,-1107.66666666667,674.666666666667,-1423.33333333333,-17.6666666666667,30,397.666666666667,120.666666666667,98.6666666666667
72,-7,-743.666666666667,670.333333333333,-1486.33333333333,-65,21.6666666666667,378.666666666667,110.333333333333,141.666666666667
78,-31,-587.666666666667,560.666666666667,-1293.66666666667,-86,0.333333333333333,383,95.3333333333333,189
84,-145.666666666667,-83.3333333333333,336.666666666667,-712.666666666667,-60.6666666666667,8.66666666666667,392.666666666667,126.333333333333,242
90,0.666666666666667,43.3333333333333,-35,59.3333333333333,-5,2,416.666666666667,120.333333333333,279
