"timestamp","acc_x","acc_y","acc_z","gyr_x","gyr_x.1","gyr_x.2","mag_x","mag_y","mag_z"
0,-51.6666666666667,283,-449,808,-26.3333333333333,9.33333333333333,501,194,-4
6,0.666666666666667,34,-518.333333333333,1279.33333333333,-18.3333333333333,13,474.666666666667,218.666666666667,-54.6666666666667
12,12.3333333333333,-137,-657,1546.33333333333,-11.3333333333333,13.6666666666667,416.666666666667,222.333333333333,-85.3333333333333
18,36.6666666666667,-624.333333333333,-466.666666666667,1494,-27.6666666666667,-13.3333333333333,370.666666666667,214,-129.333333333333
24,1,-732.666666666667,-312.333333333333,1260.33333333333,-35.3333333333333,-19.6666666666667,328,199,-162.666666666667
30,-43.6666666666667,-904.333333333333,-61,878,-54,-26.6666666666667,286,183.333333333333,-206.333333333333
36,-61.3333333333333,-818.333333333333,55.3333333333333,371.333333333333,-38.6666666666667,-19,265.666666666667,172.333333333333,-254.333333333333
42,-149,-629.333333333333,208,-175.666666666667,-74.3333333333333,6,269.666666666667,166.666666666667,-282.666666666667
48,68,-736.333333333333,256,-618.333333333333,-57.6666666666667,-11.6666666666667,294.333333333333,163.333333333333,-289.333333333333
54,130.666666666667,-687.666666666667,384,-854,-63.6666666666667,-21,327.333333333333,155.666666666667,-270.666666666667
60,135,-510.666666666667,454.333333333333,-1140.33333333333,-42,-8,360.333333333333,148.666666666667,-233.333333333333
66,-89.6666666666667,-142.666666666667,649.666666666667,-1408,-39.3333333333333,19.3333333333333,386.333333333333,142.666666666667,-167.333333333333
72,-198.666666666667,73.3333333333333,650.333333333333,-1534,-38,44.6666666666667,405.666666666667,109.666666666667,-114.666666666667
78,-195.666666666667,40,618.666666666667,-1342.66666666667,-61.6666666666667,14.3333333333333,410.333333333333,100.666666666667,-62.6666666666667
84,-144.666666666667,135.333333333333,449,-979.333333333333,-74.3333333333333,5,415.666666666667,89.6666666666667,-42.6666666666667
90,-182,329.666666666667,191.666666666667,-648,-78.6666666666667,-3.33333333333333,423.666666666667,112.666666666667,-8.66666666666667
96,-141,370.333333333333,23.3333333333333,-292,-47.6666666666667,-4.66666666666667,444,119.666666666667,20.3333333333333
102,-124,338,-107.666666666667,77,-40,-3.66666666666667,477.666666666667,106,26.3333333333333
