"timestamp","acc_x","acc_y","acc_z","gyr_x","gyr_x.1","gyr_x.2","mag_x","mag_y","mag_z"
0,98.6666666666667,192.333333333333,-319,1799.66666666667,4,1,485.666666666667,180,63.3333333333333
6,-30.3333333333333,91.3333333333333,-475,1939,-6.33333333333333,3,471.333333333333,217.666666666667,-28
12,-41.3333333333333,-143.333333333333,-589.333333333333,1824.66666666667,-16,-4.66666666666667,425.666666666667,225.333333333333,-95.6666666666667
18,-15,-372.666666666667,-567.666666666667,1563.66666666667,-28.6666666666667,-14.6666666666667,382.333333333333,221.333333333333,-141.666666666667
24,-72.3333333333333,-495,-610,1317.66666666667,-30.6666666666667,-15.3333333333333,333.666666666667,207.666666666667,-163.666666666667
30,-51.3333333333333,-628.333333333333,-386,772.333333333333,-25.6666666666667,-1,298.333333333333,194,-199
36,84.3333333333333,-715.333333333333,-72,73,2.33333333333333,9,279.333333333333,177,-233.333333333333
42,169,-706.333333333333,457.666666666667,-773.333333333333,26.6666666666667,28,290,166.666666666667,-251.666666666667
48,123,-937.333333333333,554.666666666667,-1441.33333333333,26,6.66666666666667,336.333333333333,158.333333333333,-236.333333333333
54,142,-1153,563.333333333333,-1646.66666666667,8,-8,386.666666666667,153,-185
60,36,-1051.33333333333,570.666666666667,-1695.33333333333,-44,-3,434,143,-111.666666666667
66,35.3333333333333,-768.666666666667,617.333333333333,-1600.33333333333,-52.6666666666667,22.3333333333333,451.666666666667,134.333333333333,-29
72,26.3333333333333,-677.666666666667,610.333333333333,-1557.66666666667,-39,33.6666666666667,450.333333333333,126.666666666667,44.3333333333333
78,240.333333333333,-888.666666666667,485.666666666667,-1313.66666666667,2,-4,436,142.666666666667,98.3333333333333
84,119.666666666667,-719.333333333333,526.333333333333,-858.333333333333,-16.6666666666667,4.66666666666667,410.333333333333,114.666666666667,121.333333333333
90,-22,-390.333333333333,391.666666666667,-293,-16.3333333333333,9.66666666666667,418.333333333333,104.333333333333,126.333333333333
96,-85,-32,194,378,-1.33333333333333,29.3333333333333,430.333333333333,76.6666666666667,124.333333333333
102,14.6666666666667,180,-142,1047,39.6666666666667,9.66666666666667,467,109.666666666667,114.666666666667
