"timestamp","acc_x","acc_y","acc_z","gyr_x","gyr_x.1","gyr_x.2","mag_x","mag_y","mag_z"
0,105.666666666667,302,-270.333333333333,388.666666666667,5,3.66666666666667,468,116.666666666667,-1.33333333333333
6,-59,444.333333333333,-460.666666666667,830.333333333333,-0.666666666666667,-3.33333333333333,486,176.333333333333,10.3333333333333
12,-116.333333333333,241.666666666667,-550.333333333333,1187,-17.3333333333333,-2.33333333333333,463,211.666666666667,-32
18,-68.6666666666667,-125.333333333333,-647,1516,-24,-6.66666666666667,420.666666666667,229.666666666667,-88
24,-7.33333333333333,-318.666666666667,-653.666666666667,1427.33333333333,-30.3333333333333,-9,378.666666666667,219,-126.666666666667
30,-51.6666666666667,-446.333333333333,-661.333333333333,1066,-28,-19.6666666666667,347.333333333333,199.666666666667,-149.666666666667
36,-42,-464.333333333333,-460.333333333333,690.666666666667,-8,-3.66666666666667,323.666666666667,180.666666666667,-177.333333333333
42,35.6666666666667,-688.666666666667,-52.6666666666667,281,-15.3333333333333,4.66666666666667,302.333333333333,169.333333333333,-220.666666666667
48,266.666666666667,-603.333333333333,468.666666666667,-182.333333333333,8,22.6666666666667,303.333333333333,163.666666666667,-253.666666666667
54,373.666666666667,-729,542.666666666667,-684.666666666667,9.33333333333333,-5.33333333333333,322.333333333333,162.666666666667,-258.666666666667
60,325.333333333333,-733.666666666667,410.666666666667,-1061,10.6666666666667,-43.3333333333333,357.666666666667,158,-241.333333333333
66,123.666666666667,-769.666666666667,261,-1312.33333333333,-29.6666666666667,-37,399.666666666667,148.666666666667,-193.333333333333
72,16.3333333333333,-653,404,-1458,-35.3333333333333,-8,436.666666666667,134.666666666667,-128.333333333333
78,-91.6666666666667,-379.333333333333,609,-1484.33333333333,-27.3333333333333,47,446.333333333333,125.333333333333,-44.6666666666667
84,-282.333333333333,-242,591,-1464,-100,46.3333333333333,432.666666666667,120.666666666667,18.3333333333333
90,-281,-183.666666666667,503.333333333333,-1128.66666666667,-103.333333333333,37.3333333333333,417.666666666667,116.333333333333,61
96,-107.333333333333,-323.333333333333,433.333333333333,-751.666666666667,-113.333333333333,12.3333333333333,422.666666666667,98.6666666666667,42
102,30.3333333333333,-173.333333333333,299,-240,-36,0.666666666666667,437.666666666667,95.6666666666667,57
108,42.3333333333333,53.6666666666667,178.666666666667,-20.3333333333333,-31.6666666666667,-3.66666666666667,457.333333333333,97.6666666666667,75
114,-14.3333333333333,164.333333333333,-235,364,-13,-4.33333333333333,476.666666666667,131.666666666667,131.333333333333
