"timestamp","acc_x","acc_y","acc_z","gyr_x","gyr_x.1","gyr_x.2","mag_x","mag_y","mag_z"
0,147,-30.6666666666667,-495.666666666667,1082.33333333333,47.3333333333333,-7.66666666666667,430.666666666667,180.333333333333,323
6,114,-151.333333333333,-736,1379,47.3333333333333,-20.3333333333333,441.333333333333,213.333333333333,263.666666666667
12,-33.3333333333333,-192,-806.666666666667,1439.66666666667,2.66666666666667,-23.3333333333333,439,221.666666666667,196.666666666667
18,88,-542.333333333333,-924.333333333333,1334,7.66666666666667,-16.3333333333333,413.333333333333,215.333333333333,147.333333333333
24,77,994.666666666667,-908,893.666666666667,-10.6666666666667,-0.333333333333333,397.333333333333,196.333333333333,113.666666666667
30,3.66666666666667,457.333333333333,-795.666666666667,147,-37.3333333333333,-0.666666666666667,390.333333333333,163.333333333333,37.3333333333333
36,3.66666666666667,-1302.66666666667,-517,-48.6666666666667,-66.3333333333333,5.33333333333333,408.666666666667,154.666666666667,13
42,38.6666666666667,-1387.66666666667,-327.333333333333,-294.333333333333,-63,27.6666666666667,422,154,7
48,127.666666666667,-1439.66666666667,-165.666666666667,-662,-45.6666666666667,38.3333333333333,444,145.666666666667,34
54,110,-1388.33333333333,-5.33333333333333,-915.666666666667,-36.6666666666667,46,444.666666666667,139.666666666667,78.3333333333333
60,92.3333333333333,-1266.33333333333,206,-954.333333333333,-31.3333333333333,47.6666666666667,435.666666666667,130.666666666667,129.333333333333
66,168.333333333333,-1199.33333333333,405,-928.333333333333,-28.6666666666667,50.6666666666667,401.333333333333,131.666666666667,167.333333333333
72,107.333333333333,-1166,445,-922,-27.3333333333333,44.3333333333333,379.333333333333,127.333333333333,191.333333333333
78,239.333333333333,-1225,394,-960,-32.6666666666667,22.6666666666667,380,110.333333333333,187.666666666667
84,100,-861.666666666667,299.333333333333,-731,-53.6666666666667,8,383,104.666666666667,220.666666666667
90,34,-507,112.333333333333,-351,-42,-5,393,105.666666666667,265.333333333333
96,-232.666666666667,14.6666666666667,-144.333333333333,213.666666666667,-31.3333333333333,-5.66666666666667,399,138.666666666667,330
