"timestamp","acc_x","acc_y","acc_z","gyr_x","gyr_x.1","gyr_x.2","mag_x","mag_y","mag_z"
0,104.666666666667,30,-623.666666666667,1322.33333333333,22.6666666666667,-16,511.666666666667,175.333333333333,163.666666666667
6,203,-236.333333333333,-850.666666666667,1992,58,-23.6666666666667,507.666666666667,205.666666666667,90.6666666666667
12,91.3333333333333,-276.666666666667,-864.666666666667,2271.66666666667,50.3333333333333,-16,459,207,2
18,56.3333333333333,-542.666666666667,-660.333333333333,2145.66666666667,27,-2.33333333333333,408.666666666667,222,-82
24,26.3333333333333,-438.333333333333,-503.666666666667,1756.66666666667,-20,15.6666666666667,355.333333333333,211,-132
30,31.3333333333333,-660.666666666667,-346.333333333333,1244.33333333333,-24,18,308.333333333333,193.666666666667,-178.333333333333
36,90,-675.666666666667,-165.333333333333,527.666666666667,-15.6666666666667,8,281.333333333333,177.666666666667,-230.666666666667
42,117,-762.666666666667,279,-288.333333333333,24.6666666666667,0,283.333333333333,165.666666666667,-262.333333333333
48,137.333333333333,-1006.66666666667,617.666666666667,-964,31,-26.3333333333333,321,159.666666666667,-262
54,152.333333333333,-858.666666666667,824.333333333333,-1306.33333333333,11.6666666666667,-21,367,157.333333333333,-224.666666666667
60,37,-784.333333333333,665,-1353.33333333333,-44.6666666666667,-1,408.333333333333,152,-168.333333333333
66,96,-602,651.666666666667,-1407.33333333333,-32,27.6666666666667,425.333333333333,153.333333333333,-92.6666666666667
72,-10.3333333333333,-539.333333333333,559.666666666667,-1459,-46.6666666666667,25,438.333333333333,124.333333333333,-17
78,-56,-527.333333333333,549.333333333333,-1489,-92.3333333333333,18.6666666666667,432,111.333333333333,42.3333333333333
84,-27.6666666666667,-315.666666666667,435.666666666667,-1217,-113.333333333333,14.6666666666667,432.333333333333,94,73.6666666666667
90,3.33333333333333,-203.333333333333,222.333333333333,-748.666666666667,-78.6666666666667,25,431.666666666667,111,100
96,128.666666666667,-71.3333333333333,133.666666666667,-272,-8.66666666666667,6,453,126,142
102,34,39,59.6666666666667,143.666666666667,-15.3333333333333,0,466.666666666667,108,166.666666666667
108,39,25.6666666666667,-160.333333333333,564.666666666667,-16,-8.33333333333333,490.666666666667,126,180.333333333333
