"timestamp","acc_x","acc_y","acc_z","gyr_x","gyr_x.1","gyr_x.2","mag_x","mag_y","mag_z"
0,75,51.6666666666667,-487,815,32.6666666666667,-10,434.333333333333,170.333333333333,300.333333333333
6,72.6666666666667,-11.6666666666667,-897.666666666667,1271,37.6666666666667,-14.6666666666667,458.666666666667,210.666666666667,250.666666666667
12,-20.3333333333333,-88.6666666666667,-981,1486,-2.66666666666667,-12.6666666666667,455.333333333333,223.666666666667,187.666666666667
18,59.6666666666667,-370,-1052.33333333333,1324,-11,-19.3333333333333,427.333333333333,219.333333333333,124
24,46.6666666666667,-633,-1048.66666666667,1009.33333333333,-21.6666666666667,-20.6666666666667,394,197.333333333333,82.6666666666667
30,94.6666666666667,-968.666666666667,-1036,611.333333333333,-19.6666666666667,-19.6666666666667,382.333333333333,183.666666666667,32.6666666666667
36,125.333333333333,-1311.33333333333,-772,402,-33,-18.6666666666667,386.333333333333,167,-14.3333333333333
42,141,-1494.66666666667,-384.666666666667,121.666666666667,-39.3333333333333,2.33333333333333,407.666666666667,157,-52
48,159.333333333333,-1648.66666666667,54.3333333333333,-300,-53.3333333333333,-6,429.333333333333,151,-50.3333333333333
54,99.6666666666667,-1479.33333333333,441.333333333333,-781.666666666667,-73,24,444.333333333333,147.666666666667,-16.3333333333333
60,34.3333333333333,-1351.66666666667,650.333333333333,-1267.66666666667,-87.6666666666667,20,437.333333333333,140.333333333333,48.6666666666667
66,108.333333333333,-1077.33333333333,693.666666666667,-1411.66666666667,-64.3333333333333,40.6666666666667,417.666666666667,136,102.666666666667
72,55,-907.666666666667,574.333333333333,-1500.66666666667,-56,26,406.666666666667,114.333333333333,114.333333333333
78,157.666666666667,-732.333333333333,420,-1269.33333333333,-46,24.6666666666667,394.666666666667,110.333333333333,157.333333333333
84,51.6666666666667,-520,342.333333333333,-797.666666666667,-38,19.3333333333333,399.666666666667,106.333333333333,203.666666666667
90,-18.6666666666667,-208.666666666667,134.333333333333,-125.666666666667,-25,0,401,131.333333333333,284
96,-22.6666666666667,26.6666666666667,-202.666666666667,536.666666666667,17,-8,430.666666666667,172.333333333333,297
