"timestamp","acc_x","acc_y","acc_z","gyr_x","gyr_x.1","gyr_x.2","mag_x","mag_y","mag_z"
0,-11.3333333333333,-13.6666666666667,-777.666666666667,1207,44,-11.6666666666667,430.666666666667,184.333333333333,267.333333333333
6,-71.6666666666667,-146,-1096,1435,45.6666666666667,-7.66666666666667,444.333333333333,214.666666666667,204.333333333333
12,10,-393.666666666667,-1280,1356.33333333333,25.3333333333333,-22.6666666666667,423.666666666667,225.666666666667,142.333333333333
18,-2.33333333333333,-508.333333333333,-1108.33333333333,1052.33333333333,-21.6666666666667,-7,402.333333333333,207.666666666667,98
24,26.6666666666667,-816.666666666667,-1062.66666666667,668.666666666667,-51,-21,388.333333333333,187.333333333333,59.3333333333333
30,61.6666666666667,-1311.66666666667,-818.333333333333,359.333333333333,-46.3333333333333,-24,398.333333333333,164.666666666667,15.6666666666667
36,-9.66666666666667,-1639.66666666667,-683.666666666667,111,-47.3333333333333,-27,411.333333333333,158.666666666667,-14
42,5,-1613.33333333333,-131,-120.333333333333,-66,-0.333333333333333,428.333333333333,155.666666666667,-23
48,109.666666666667,-1562.33333333333,202.333333333333,-452.333333333333,-58.6666666666667,27,437.333333333333,152.333333333333,-10
54,125.666666666667,393,638.666666666667,-930.666666666667,-63,48.6666666666667,436.666666666667,141.333333333333,40.6666666666667
60,-35,616,702.333333333333,-1255.66666666667,-41.3333333333333,62,422.666666666667,131.333333333333,95.6666666666667
66,-185.333333333333,894.333333333333,736,-1549,-80.3333333333333,37,398.333333333333,124.666666666667,154.666666666667
72,-78.3333333333333,-680,613.333333333333,-1454,-78.6666666666667,24.3333333333333,382.333333333333,125.666666666667,198
78,15.3333333333333,-541.666666666667,416,-1061.33333333333,-76.3333333333333,2.33333333333333,378.333333333333,107,221.666666666667
84,33.6666666666667,-179,111.333333333333,9.33333333333333,-7,22.3333333333333,389.333333333333,111.666666666667,262.666666666667
90,-34.3333333333333,123.333333333333,-294.333333333333,944.333333333333,39,12.3333333333333,416,128.666666666667,266.333333333333
