"timestamp","acc_x","acc_y","acc_z","gyr_x","gyr_x.1","gyr_x.2","mag_x","mag_y","mag_z"
0,73.6666666666667,-77.3333333333333,-466,1324.66666666667,19.3333333333333,-14.6666666666667,502,159.666666666667,82.6666666666667
6,29,-133.666666666667,-808.333333333333,1718.66666666667,24,-13,491.666666666667,191.666666666667,23.6666666666667
12,-33,-261,-779.666666666667,1840.66666666667,5,-13.6666666666667,462.333333333333,206.666666666667,-50.3333333333333
18,-17,-471.666666666667,-690.333333333333,1818.33333333333,-13.3333333333333,-14,399,224.333333333333,-102.333333333333
24,-30,-488.333333333333,-624.333333333333,1593.33333333333,-27.6666666666667,-27.3333333333333,350.333333333333,214.333333333333,-146
30,10.3333333333333,-501.333333333333,-454.333333333333,1180.33333333333,-21,-28.3333333333333,308.333333333333,201,-182
36,-8,-446.333333333333,-206,492.666666666667,-19.6666666666667,-14.6666666666667,273.666666666667,186.333333333333,-223.333333333333
42,37.6666666666667,-568.333333333333,160,-322.666666666667,-6.66666666666667,10,272.333333333333,173.333333333333,-260.666666666667
48,-87.3333333333333,-630,290.666666666667,-927,-70,23,300.333333333333,164.333333333333,-268.333333333333
54,40.6666666666667,-909.666666666667,216.333333333333,-1165.33333333333,-79.3333333333333,8.33333333333333,342,160,-249.333333333333
60,197,-1091.66666666667,261.333333333333,-1083.33333333333,-75,-45,382,152.333333333333,-208.333333333333
66,294,-826,433,-993.666666666667,-4.66666666666667,-26.6666666666667,411,146.666666666667,-165.666666666667
72,77.6666666666667,-458.666666666667,663.666666666667,-1074.33333333333,7,-2.66666666666667,426.333333333333,141.666666666667,-102.333333333333
78,-164.666666666667,-278,681.333333333333,-1334.66666666667,-32.3333333333333,35.6666666666667,434.333333333333,116.333333333333,-61
84,-91,-506.333333333333,557.333333333333,-1585.33333333333,-64.6666666666667,-0.666666666666667,427.666666666667,105,0.666666666666667
90,302,-626.666666666667,453.666666666667,-1432,-29.3333333333333,-13,428.333333333333,92.3333333333333,39.6666666666667
96,364,-438.333333333333,301.666666666667,-996.333333333333,4.66666666666667,-4,430.666666666667,109.333333333333,101.333333333333
102,299.666666666667,-179.333333333333,125.666666666667,-194.333333333333,35,3.33333333333333,446.333333333333,115.333333333333,135.666666666667
108,56.3333333333333,18.3333333333333,-102.333333333333,572.333333333333,10.3333333333333,0.333333333333333,491.666666666667,115,127.333333333333
