"timestamp","acc_x","acc_y","acc_z","gyr_x","gyr_x.1","gyr_x.2","mag_x","mag_y","mag_z"
0,43.3333333333333,195.333333333333,-262,648.333333333333,-47.6666666666667,3.33333333333333,489.666666666667,192.666666666667,-49
6,27,241,-341,1044,-54.6666666666667,16,464.666666666667,212.666666666667,-80
12,64,28,-387.333333333333,1271.66666666667,-40.3333333333333,5,428.666666666667,210.333333333333,-123.333333333333
18,43.3333333333333,-20.3333333333333,-411,1305.66666666667,-14.3333333333333,1.33333333333333,372.666666666667,219.333333333333,-146.333333333333
24,36,-309.666666666667,-348.333333333333,1097.33333333333,-3,-19.6666666666667,340,214.333333333333,-169.333333333333
30,84.6666666666667,-164,-243.666666666667,870,0,7.33333333333333,308.666666666667,204.333333333333,-188
36,121,-230.666666666667,-44,730.666666666667,-13.3333333333333,17.3333333333333,275.333333333333,188.333333333333,-218.666666666667
42,172.333333333333,-64,-23,635,-10.3333333333333,27.6666666666667,237,176.333333333333,-259
48,86.6666666666667,-403.666666666667,-71,480.333333333333,-19.3333333333333,-0.666666666666667,213.333333333333,169.666666666667,-304.333333333333
54,44.3333333333333,-593.666666666667,-26,112.666666666667,-23.6666666666667,-46.3333333333333,208.333333333333,166.666666666667,-336
60,146.333333333333,-846.666666666667,35.3333333333333,-266.666666666667,-25,-65.3333333333333,228.666666666667,163.666666666667,-349.333333333333
66,52.3333333333333,-144.333333333333,222.333333333333,-639.333333333333,-58.6666666666667,5.66666666666667,256.666666666667,159.666666666667,-339.333333333333
72,192,-81.3333333333333,275.666666666667,-731,-29,66.6666666666667,285,154.666666666667,-317.333333333333
78,-58.6666666666667,423.666666666667,401.333333333333,-895,-37.6666666666667,90.3333333333333,311,149.666666666667,-284
84,28.3333333333333,243.666666666667,481,-925.666666666667,6.66666666666667,34.6666666666667,336,145.333333333333,-237.666666666667
90,-158,517,441.333333333333,-950.666666666667,-41,-1.66666666666667,342.666666666667,138.333333333333,-220.333333333333
96,-25,502.666666666667,485.666666666667,-737.666666666667,-36.3333333333333,6.33333333333333,352.666666666667,119.666666666667,-183.333333333333
102,118.333333333333,291.333333333333,408.333333333333,-594.333333333333,-43,-1.66666666666667,354.666666666667,106.666666666667,-175.666666666667
108,97.6666666666667,432.666666666667,477.333333333333,-594,-27,7,375,104.666666666667,-142.666666666667
114,197.666666666667,212,248.333333333333,-598.666666666667,3.66666666666667,3.66666666666667,399,117.666666666667,-127.333333333333
120,194,131,-204.333333333333,-438.333333333333,22.3333333333333,8.66666666666667,431,136,-78
