"timestamp","acc_x","acc_y","acc_z","gyr_x","gyr_x.1","gyr_x.2","mag_x","mag_y","mag_z"
0,239.333333333333,21.3333333333333,-509.666666666667,-166.333333333333,-1,2.33333333333333,450.333333333333,128.666666666667,-43.6666666666667
6,24,11.6666666666667,-585,398.333333333333,-18,-17,468.333333333333,153.666666666667,-32.6666666666667
12,-76.6666666666667,-61.3333333333333,-606.333333333333,886.333333333333,-29.3333333333333,-6.66666666666667,459,173.666666666667,-72.6666666666667
18,-61.6666666666667,-89.3333333333333,-646,1277.33333333333,-30.6666666666667,6,427.333333333333,223.333333333333,-118.333333333333
24,35.6666666666667,-38,-607,1397.66666666667,-20,18.3333333333333,377.333333333333,229.333333333333,-155.333333333333
30,39.6666666666667,84.3333333333333,-538,1450,-8.66666666666667,22,329.666666666667,226,-178.333333333333
36,18.6666666666667,48.6666666666667,-458.333333333333,1343.66666666667,9,20.3333333333333,287.333333333333,213.333333333333,-202.333333333333
42,55,-228,-365.666666666667,1120,14.3333333333333,22.3333333333333,247.333333333333,197.666666666667,-243
48,93,-505.333333333333,-149.666666666667,714.333333333333,10.6666666666667,5.33333333333333,216,182.666666666667,-285
54,190.666666666667,-685.666666666667,155,232.666666666667,9.33333333333333,1.66666666666667,202.333333333333,172.666666666667,-322.666666666667
60,3,-71.3333333333333,453,-328.333333333333,-44,10.3333333333333,209.333333333333,171.333333333333,-341.666666666667
66,-211.666666666667,510.333333333333,614.333333333333,-593.333333333333,-93.3333333333333,41.3333333333333,228.333333333333,166.333333333333,-348
72,-454.333333333333,985.333333333333,624.666666666667,-737.666666666667,-145.666666666667,64.3333333333333,252.333333333333,162,-337
78,-337.333333333333,816.333333333333,579.333333333333,-660.333333333333,-95.3333333333333,53,268.666666666667,157,-324
84,-149.333333333333,605.666666666667,551.333333333333,-791.333333333333,-43.6666666666667,26.3333333333333,303.666666666667,144,-300
90,-2.33333333333333,467,640,-1112.33333333333,-12.3333333333333,-4.33333333333333,328.333333333333,134,-258.666666666667
96,-91,309.333333333333,627,-1450.66666666667,-55,-17.6666666666667,352,122.333333333333,-209
102,-64.3333333333333,220,544.333333333333,-1501.33333333333,-84.3333333333333,-12.3333333333333,355,118.333333333333,-164.333333333333
108,-46.3333333333333,93.3333333333333,327.333333333333,-1271.33333333333,-93.3333333333333,-1,374.333333333333,119.666666666667,-138.333333333333
114,-47.6666666666667,226,181.333333333333,-924,-80.6666666666667,19.3333333333333,419.666666666667,136.333333333333,-109.666666666667
120,-186.333333333333,467.333333333333,86.3333333333333,-560.333333333333,-92.3333333333333,20.3333333333333,438,123.333333333333,-77.6666666666667
126,-251.666666666667,730.666666666667,3,-76.6666666666667,-88.3333333333333,15.3333333333333,460.666666666667,130.333333333333,-50.3333333333333
132,-226.666666666667,866.666666666667,-91.3333333333333,421.666666666667,-100,5.33333333333333,460.333333333333,138.666666666667,-42.3333333333333
