"timestamp","acc_x","acc_y","acc_z","gyr_x","gyr_x.1","gyr_x.2","mag_x","mag_y","mag_z"
0,-59,459.666666666667,-141.333333333333,-407.333333333333,-33.3333333333333,34.6666666666667,426.666666666667,127,-80.6666666666667
6,-172.666666666667,633.333333333333,-173,30.6666666666667,-42,19.6666666666667,454.333333333333,144.333333333333,-54.6666666666667
12,-126.666666666667,620.666666666667,-257.666666666667,505.666666666667,-49,1.33333333333333,474.333333333333,186.666666666667,-71.6666666666667
18,-29.3333333333333,505.666666666667,-439.666666666667,937,-42.3333333333333,-6,467,207.666666666667,-95.6666666666667
24,73.6666666666667,193,-549.666666666667,1307,-36.6666666666667,-30.3333333333333,428.333333333333,229.666666666667,-136.666666666667
30,30.3333333333333,169.333333333333,-593.666666666667,1435.66666666667,-24.6666666666667,-20.6666666666667,371.666666666667,217.333333333333,-154.666666666667
36,-18.6666666666667,-95.3333333333333,-618,1409.33333333333,-11.3333333333333,-17.3333333333333,321.666666666667,216.333333333333,-184.333333333333
42,-11.3333333333333,-177,-431.666666666667,1153.33333333333,-22.6666666666667,-6,281.333333333333,202.333333333333,-208.666666666667
48,74.6666666666667,-321.333333333333,-150,909.666666666667,-48,-11.3333333333333,241.333333333333,191.333333333333,-245.666666666667
54,57,-367.666666666667,90,545.333333333333,-71.3333333333333,-18,201.333333333333,179.333333333333,-293
60,-10,-428.666666666667,218.666666666667,101.666666666667,-62,-18,188.333333333333,171.333333333333,-337.333333333333
66,-36,-347.666666666667,204.333333333333,-358.333333333333,-64.3333333333333,-19.3333333333333,197,167.666666666667,-356.333333333333
72,-106.333333333333,-66,407.666666666667,-548,-70,-22,225.333333333333,165.666666666667,-357.666666666667
78,-102.666666666667,271.333333333333,499,-528.666666666667,-87,0.333333333333333,249.333333333333,164.666666666667,-344.333333333333
84,-140.666666666667,368.333333333333,596,-407,-55,13.3333333333333,269.333333333333,159.666666666667,-329.333333333333
90,-105,453,445,-549,-29.6666666666667,20.6666666666667,290.333333333333,151,-304.333333333333
96,-78.6666666666667,372.333333333333,504.666666666667,-883.333333333333,-20.6666666666667,-4.33333333333333,292.666666666667,142.666666666667,-281.666666666667
102,-146,495.333333333333,679.333333333333,-1233.33333333333,-75.6666666666667,-10,311,118.333333333333,-235.666666666667
108,-492.666666666667,477.333333333333,888.666666666667,-1930.33333333333,-259.333333333333,11.6666666666667,325,110,-200
114,-244,460,596.333333333333,-1829,-234.333333333333,16,362.666666666667,102.333333333333,-150.666666666667
120,-39.6666666666667,199.666666666667,84,-1432.66666666667,-180,36.3333333333333,395.333333333333,120.333333333333,-121.333333333333
126,499.666666666667,-51,-496,-436,21.6666666666667,14.6666666666667,432,136.333333333333,-73.3333333333333
