"timestamp","acc_x","acc_y","acc_z","gyr_x","gyr_x.1","gyr_x.2","mag_x","mag_y","mag_z"
0,-41.3333333333333,-80.3333333333333,-230,-86,-37,5.66666666666667,327,170.666666666667,-220
6,-25.3333333333333,-107.333333333333,-227.333333333333,-80,-37,7,327,171.666666666667,-214
12,-25.3333333333333,1306.66666666667,114.666666666667,-73,-38.3333333333333,10.3333333333333,323.666666666667,172.333333333333,-208
18,-21.3333333333333,1307,116.333333333333,-28.3333333333333,-36.3333333333333,11,320.333333333333,172.666666666667,-202
24,-29.6666666666667,1329,160.333333333333,-42,-38,9,318,173.666666666667,-196
30,-42.6666666666667,-62.3333333333333,213.333333333333,-71.6666666666667,-38.3333333333333,9,323,174.666666666667,-187
36,-4,-177.333333333333,160,-100,-35.6666666666667,3.66666666666667,327.333333333333,178.333333333333,-173.333333333333
42,41.6666666666667,-305.666666666667,55,-107.333333333333,-29.3333333333333,-3,332.666666666667,184,-153.333333333333
48,67.3333333333333,-424.333333333333,-96.3333333333333,1291,-27.6666666666667,-12.6666666666667,336,191.333333333333,-131.333333333333
