"timestamp","acc_x","acc_y","acc_z","gyr_x","gyr_x.1","gyr_x.2","mag_x","mag_y","mag_z"
0,169.333333333333,-150,-564.333333333333,135.666666666667,-22.6666666666667,-19.6666666666667,483.666666666667,153,-9.66666666666667
6,173.666666666667,-193.333333333333,-656.666666666667,663,-22,-13.3333333333333,484.333333333333,182.666666666667,-20
12,79.3333333333333,-371,-691.666666666667,1107.66666666667,-15,-14.6666666666667,457.666666666667,194.666666666667,-70
18,4.33333333333333,-480,-503.333333333333,1252,-15.3333333333333,-4.66666666666667,404.666666666667,230.333333333333,-109.666666666667
24,12,-371.666666666667,-552,1103.66666666667,-19,4,370.666666666667,226.333333333333,-136.333333333333
30,17,-270.333333333333,-684,685.333333333333,-10.6666666666667,9.66666666666667,346.333333333333,217,-147.333333333333
36,-231.666666666667,162,-639.333333333333,94,-107,47,329,202.333333333333,-157.333333333333
42,-200.666666666667,-88.3333333333333,-330.666666666667,-422.666666666667,-107,34.3333333333333,322.333333333333,184.666666666667,-179.666666666667
48,-211.666666666667,-279.666666666667,12,-678,-106,31.3333333333333,336.333333333333,167.666666666667,-196.333333333333
54,146,-791,191,-657,9.66666666666667,-18,357.666666666667,159.333333333333,-203.666666666667
60,38,-693,184,-889.333333333333,-57.3333333333333,2,386.333333333333,158,-188.666666666667
66,-1.33333333333333,-339.333333333333,358.666666666667,-1127.66666666667,-120.666666666667,52.3333333333333,412.333333333333,157,-154
72,-134.666666666667,-294.333333333333,486.666666666667,-1146.66666666667,-112,69,436.333333333333,152,-106.666666666667
78,-228.666666666667,-215,619.333333333333,-1155.66666666667,-87.6666666666667,61,446.333333333333,148.333333333333,-46.3333333333333
84,-271.333333333333,-344.666666666667,661,-1102,-73.6666666666667,23.6666666666667,451.666666666667,124.333333333333,-4
90,-325.666666666667,-124.666666666667,602,-1243.33333333333,-143,30.6666666666667,438.666666666667,116.666666666667,54
96,-33.6666666666667,-305.333333333333,592.333333333333,-913.333333333333,-102,22.3333333333333,431.666666666667,104.333333333333,81.6666666666667
102,131,-348,516.666666666667,-399.666666666667,-60.3333333333333,4.66666666666667,425.333333333333,114.666666666667,102.333333333333
108,255.333333333333,-261.333333333333,398.333333333333,83.3333333333333,-6,-15.6666666666667,441.333333333333,117.333333333333,87.3333333333333
114,237.333333333333,-195.333333333333,275.666666666667,500.666666666667,13.3333333333333,-22.3333333333333,473.666666666667,138.333333333333,93.6666666666667
120,194,-71,174.666666666667,798.333333333333,1.66666666666667,-11,484.666666666667,127.333333333333,89
126,160,-109.666666666667,-126,1211.33333333333,3,-9.33333333333333,498.333333333333,147.333333333333,71.6666666666667
