"timestamp","acc_x","acc_y","acc_z","gyr_x","gyr_x.1","gyr_x.2","mag_x","mag_y","mag_z"
0,-38,187.333333333333,-367.666666666667,890,-17,-0.333333333333333,498.333333333333,151.333333333333,146
6,-70.3333333333333,186,-722.666666666667,1105.33333333333,-23.3333333333333,7.33333333333333,496.666666666667,209.333333333333,103
12,-78,-97.3333333333333,-748,1214.66666666667,-17.6666666666667,1.33333333333333,459.666666666667,223.666666666667,44
18,-54.3333333333333,-514.666666666667,-843,1395.66666666667,-9,-12.3333333333333,419,217.333333333333,-9
24,-19.6666666666667,-836.666666666667,-650,1587.33333333333,-7.33333333333333,-21,385,196.333333333333,-64.6666666666667
30,-24,-856.666666666667,-323.333333333333,1438,-33,-29,352.666666666667,179.333333333333,-135.666666666667
36,55,-847.333333333333,177.333333333333,1081,-2,5,325.666666666667,163.333333333333,-204.666666666667
42,39.3333333333333,-663,423.666666666667,341,15,3,311.666666666667,162.666666666667,-250
48,151.333333333333,-634.333333333333,573,-253.666666666667,36.6666666666667,10,323.666666666667,162.666666666667,-260
54,66.3333333333333,-526.333333333333,666.333333333333,-794,-14,-16.3333333333333,348.333333333333,163,-239
60,104.666666666667,-619.333333333333,851,-1158.33333333333,-49.3333333333333,-23.3333333333333,390,148.666666666667,-199
66,87,-527,867.333333333333,-1535,-55,-11,417,134.666666666667,-124.666666666667
72,136,-528,726,-1802,-24.3333333333333,14.6666666666667,428.333333333333,119.333333333333,-47.6666666666667
78,267,-557.333333333333,642.666666666667,-1757,1.66666666666667,30,419.333333333333,113.666666666667,27.6666666666667
84,231,-411.666666666667,529.666666666667,-1322,-0.666666666666667,25.3333333333333,421.666666666667,109.333333333333,66.3333333333333
90,237.666666666667,-330,396.333333333333,-717.666666666667,-12.6666666666667,5,463.333333333333,114.666666666667,77.3333333333333
96,154,-84.6666666666667,252.666666666667,24,-2.33333333333333,0.666666666666667,481.333333333333,117.666666666667,106
102,57.3333333333333,92.6666666666667,4,650.666666666667,-0.666666666666667,-0.333333333333333,502,135,114.333333333333
108,63.3333333333333,82.6666666666667,-300,1220.66666666667,17.6666666666667,-4,491.333333333333,160.666666666667,114.666666666667
