"timestamp","acc_x","acc_y","acc_z","gyr_x","gyr_x.1","gyr_x.2","mag_x","mag_y","mag_z"
0,-46.3333333333333,71.3333333333333,-622.333333333333,575.666666666667,-10,-15.3333333333333,461.666666666667,154.333333333333,-104.666666666667
6,20.6666666666667,-187,-845,1228,0,-29.3333333333333,445,206.666666666667,-96
12,40,-172,-833.333333333333,1543.66666666667,-17.6666666666667,-19.6666666666667,399.666666666667,231.666666666667,-150.666666666667
18,6,-186.333333333333,-615.333333333333,1659.66666666667,-64,-11.3333333333333,345.666666666667,231,-190.333333333333
24,8,-303,-476.333333333333,1486.66666666667,-61,-10.3333333333333,298.333333333333,219.666666666667,-219.666666666667
30,-1.66666666666667,-586,-294.666666666667,1082.33333333333,-39.3333333333333,-18.6666666666667,261.333333333333,200.666666666667,-243
36,-50.6666666666667,-475,-126.666666666667,499.666666666667,-17.6666666666667,-2,226.333333333333,186.666666666667,-277.666666666667
42,-35,-685.333333333333,82.3333333333333,-181,-19.6666666666667,-21.6666666666667,210.666666666667,172.666666666667,-309.333333333333
48,86.3333333333333,-545,454,-735,-34,-25,225.666666666667,167.666666666667,-326.666666666667
54,253.666666666667,-611.333333333333,575.333333333333,-850,-23,-38,263.333333333333,164.666666666667,-320.333333333333
60,314.666666666667,-344.333333333333,697.666666666667,-797.333333333333,-17.6666666666667,3,301.333333333333,159,-308.666666666667
66,232.666666666667,-299.333333333333,681.333333333333,-773.666666666667,10.6666666666667,13,340.666666666667,147,-276.333333333333
72,171.333333333333,-189.666666666667,759.333333333333,-1062.33333333333,22,3.66666666666667,367.666666666667,136,-230
78,101,0,719.666666666667,-1244,5.33333333333333,-17,383.333333333333,125,-169.333333333333
84,132.333333333333,72.3333333333333,591.333333333333,-1118.66666666667,-26.6666666666667,-25.3333333333333,380,123,-128
90,57.3333333333333,251.333333333333,472.333333333333,-692.666666666667,-58.3333333333333,-6,385,123,-100.333333333333
96,-37.3333333333333,425.333333333333,366.666666666667,-322.666666666667,-63.6666666666667,1.66666666666667,383,104,-112.666666666667
102,-86.3333333333333,479,31.6666666666667,-9.66666666666667,-49.6666666666667,4.33333333333333,409.333333333333,103,-104.666666666667
108,-72.3333333333333,475,-255,256.666666666667,-30.6666666666667,-1.66666666666667,431.333333333333,115.666666666667,-103.333333333333
