,,,,,,,,,,,,,,,,,,,
9a,e9,27,00,1f,fc,7c,0,ff,ff,e2,ff,2,0,89,1,1,1,a6,1
a0,e9,26,00,1f,fc,7c,0,ff,ff,e2,ff,2,0,87,1,fe,0,ac,1
a6,e9,26,00,1e,fc,7b,0,ff,ff,e2,ff,2,0,83,1,0,1,a9,1
ac,e9,26,00,1e,fc,7b,0,ff,ff,e2,ff,2,0,86,1,fe,0,aa,1
b3,e9,27,00,1f,fc,7b,0,ff,ff,e2,ff,2,0,84,1,0,1,a6,1
b9,e9,26,00,1f,fc,7b,0,ff,ff,e1,ff,2,0,84,1,fd,0,a3,1
bf,e9,27,00,1e,fc,7c,0,ff,ff,e2,ff,2,0,84,1,fe,0,a7,1
c5,e9,26,00,1f,fc,7a,0,ff,ff,e2,ff,3,0,8a,1,0,1,a6,1
cc,e9,27,00,1f,fc,7b,0,ff,ff,e1,ff,2,0,87,1,9,1,a0,1
d2,e9,27,00,1f,fc,7b,0,ff,ff,e2,ff,2,0,8c,1,1,1,a7,1
d8,e9,26,00,1f,fc,7b,0,ff,ff,e2,ff,3,0,84,1,3,1,a7,1
de,e9,26,00,1e,fc,7b,0,ff,ff,e1,ff,2,0,86,1,3,1,aa,1
e5,e9,27,00,1e,fc,7b,0,fe,ff,e2,ff,2,0,8c,1,0,1,a9,1
eb,e9,27,00,1e,fc,7b,0,ff,ff,e2,ff,2,0,81,1,fe,0,ad,1
f1,e9,26,00,1e,fc,7c,0,ff,ff,e1,ff,2,0,87,1,fa,0,a9,1
f7,e9,27,00,1f,fc,7b,0,ff,ff,e2,ff,2,0,86,1,6,1,a4,1
fe,e9,27,00,1e,fc,7b,0,fe,ff,e2,ff,2,0,86,1,0,1,a0,1
04,ea,27,00,1f,fc,7b,0,fe,ff,e2,ff,2,0,84,1,3,1,a0,1
0a,ea,26,00,1e,fc,7c,0,ff,ff,e2,ff,2,0,84,1,fe,0,a6,1
10,ea,26,00,1f,fc,7c,0,ff,ff,e2,ff,2,0,89,1,7,1,a6,1
17,ea,26,00,1e,fc,7b,0,ff,ff,e2,ff,2,0,84,1,1,1,b0,1
1d,ea,26,00,20,fc,7d,0,ff,ff,e2,ff,2,0,80,1,9,1,a4,1
23,ea,27,00,1e,fc,7c,0,fe,ff,e2,ff,3,0,84,1,0,1,a6,1
29,ea,27,00,1f,fc,7b,0,ff,ff,e2,ff,2,0,86,1,f7,0,a4,1
